date,home_team,home_score,away_score,away_team,notes
9/7,Medway MOB,3,0,Ashland,
9/7,Irish Village,4,0,F.C. Westwood,
9/7,West Roxbury United 55,4,0,AFC Medfield,
9/7,Weston,5,1,Fernandes O55++,
9/14,F.C. Westwood,0,2,Medway MOB,
9/14,Ashland,0,1,Irish Village,
9/14,Fernandes O55++,0,3,West Roxbury United 55,
9/14,AFC Medfield,3,3,Weston,
9/21,Medway MOB,4,0,Irish Village,
9/21,F.C. Westwood,0,3,Ashland,
9/21,AFC Medfield,4,2,Fernandes O55++,
9/21,Weston,1,1,West Roxbury United 55,
9/28,West Roxbury United 55,4,0,F.C. Westwood,
9/28,Fernandes O55++,1,1,Medway MOB,
10/5,West Roxbury United 55,4,2,Irish Village,
10/5,AFC Medfield,7,1,F.C. Westwood,
10/5,Weston,2,1,Medway MOB,
10/5,Fernandes O55++,1,3,Ashland,
10/12,Medway MOB,5,0,AFC Medfield,
10/12,Ashland,0,0,West Roxbury United 55,
10/12,Irish Village,2,0,Fernandes O55++,
10/12,F.C. Westwood,1,4,Weston,
10/19,Medway MOB,5,1,West Roxbury United 55,
10/19,F.C. Westwood,0,7,Fernandes O55++,
10/19,AFC Medfield,2,4,Ashland,
10/19,Weston,2,1,Irish Village,
10/26,Irish Village,0,2,Medway MOB,
10/26,Ashland,2,forfeitNP,lost by forfeit without card point penalties F.C. Westwood,forfeit
10/26,Fernandes O55++,3,5,AFC Medfield,
10/26,West Roxbury United 55,0,1,Weston,
11/2,Ashland,0,3,Medway MOB,
11/2,F.C. Westwood,3,0,Irish Village,
11/2,AFC Medfield,2,2,West Roxbury United 55,
11/2,Fernandes O55++,0,1,Weston,
11/6,Ashland,0,0,Weston,
11/9,Medway MOB,2,forfeit,lost by forfeit F.C. Westwood,forfeit
11/9,Irish Village,4,0,Ashland,
11/9,West Roxbury United 55,2,forfeitNP,lost by forfeit without card point penalties Fernandes O55++,forfeit
11/9,Weston,2,forfeit,lost by forfeit AFC Medfield,forfeit
11/16 semi,Medway MOB,2,1,DEA,
11/16 semi,NS Internationals,2,3,Weston,
11/23 final,Medway MOB,0,0,Weston,shootout
TBD,Irish Village,forfeit,forfeit,Medfield,double forfeit
